"id","name","desc","include","level_1_ID","createdBy","updatedBy","created_at","updated_at"
2746,Senior Management Oversight,"Ensures governance of the ISMS, provides strategic security direction, and allocates resources.

Example: The CISO ensures that annual risk assessments are conducted and security policy updates are reviewed.

Evidences to attach:
1. Meeting minutes or notes from top-level management reviews (e.g., committees) discussing security resource allocations or policy approvals.
2. Signed policy/governance documents showing leadership endorsement.",1,994,1,1,"2025-03-19 11:33:36.021","2025-03-19 11:33:36.021"
2747,CISO / Security Manager,"Develops security policies, enforces compliance, and coordinates security with IT and business teams.

Example: The CISO ensures that annual risk assessments are conducted and security policy updates are reviewed.

Evidences to attach:
1. Risk assessment reports (annual or quarterly) created or approved by the CISO.
2. Records or emails verifying that updated security policies were shared with relevant teams or departments.",1,994,1,1,"2025-03-19 11:33:36.059","2025-03-19 11:33:36.059"
2748,IT Management & Technical Teams,"Implements security measures, manages firewalls, IDS, antivirus, and ensures operational security.

Example: The CISO ensures that annual risk assessments are conducted and security policy updates are reviewed.

Evidences to attach:
1. Firewall or antivirus logs showing updates or changes (screenshots, reports, or change tickets).
2. Ticketing system records demonstrating how security-related tasks (e.g., patches, vulnerability fixes) were assigned and resolved.",1,994,1,1,"2025-03-19 11:33:36.081","2025-03-19 11:33:36.081"
2749,Access Control Systems,"Defines authentication and authorization processes, including RBAC and MFA enforcement.

Example: Enforcing multi-factor authentication (MFA) for all remote access to critical systems reduces the risk of unauthorized access.

Evidences to attach:
1. Access control lists or screenshots showing assigned roles/permissions.
2. Records/logs indicating MFA enforcement or successful MFA enrollment.",1,995,1,1,"2025-03-19 11:33:36.114","2025-03-19 11:33:36.114"
2750,Data Protection Measures,"Implements encryption for sensitive data and defines data lifecycle management policies.

Example: Enforcing multi-factor authentication (MFA) for all remote access to critical systems reduces the risk of unauthorized access.

Evidences to attach:
1. Documentation or configuration evidence showing data encryption at rest/in transit (e.g., certificates, system settings).
2. Policies or procedures outlining data lifecycle (retention, archiving, disposal).",1,995,1,1,"2025-03-19 11:33:36.140","2025-03-19 11:33:36.140"
2751,Incident Response and Management,"Establishes procedures for identifying, containing, eradicating, and recovering from security incidents.

Example: Enforcing multi-factor authentication (MFA) for all remote access to critical systems reduces the risk of unauthorized access.

Evidences to attach:
1. Incident response plans or runbooks describing containment and recovery steps.
2. Post-incident reports detailing the timeline, root cause, and follow-up actions.",1,995,1,1,"2025-03-19 11:33:36.165","2025-03-19 11:33:36.165"
2752,Employee Training Programs,"Develops continuous security awareness training for employees at all levels.

Example: Running a simulated phishing attack campaign to assess employee response and improve email security awareness.

Evidences to attach:
1. Training attendance logs, completion records, or certificates demonstrating employee participation.
2. Curriculum outlines or screenshots of training modules.",1,996,1,1,"2025-03-19 11:33:36.221","2025-03-19 11:33:36.221"
2753,Security Exercises,"Conducts simulated attacks (e.g., phishing tests, red team exercises) to evaluate security awareness.

Example: Running a simulated phishing attack campaign to assess employee response and improve email security awareness.

Evidences to attach:
1. Reports or summaries from phishing/red-team exercises showing results and improvements.
2. Follow-up communications or metrics demonstrating how lessons learned were shared with employees.",1,996,1,1,"2025-03-19 11:33:36.242","2025-03-19 11:33:36.242"
2754,Continuous Monitoring,"Uses SIEM tools, vulnerability scanners, and anomaly detection systems to monitor security events.

Example: Using a SIEM tool to monitor unauthorized access attempts and detect potential insider threats.

Evidences to attach:
1. SIEM tool screenshots or log reports showing active monitoring or detected anomalies.
2. Vulnerability scan results or alerts indicating potential issues and follow-up.",1,997,1,1,"2025-03-19 11:33:36.301","2025-03-19 11:33:36.301"
2755,Security Audits,"Conducts regular internal and external audits to assess compliance and policy effectiveness.

Example: Using a SIEM tool to monitor unauthorized access attempts and detect potential insider threats.

Evidences to attach:
1. Internal or external audit reports listing findings and recommended actions.
2. Evidence of corrective actions taken (e.g., updated policies, remediation tasks completed).",1,997,1,1,"2025-03-19 11:33:36.323","2025-03-19 11:33:36.323"
2756,Top Management Oversight,"Top management ensures that the ISMS reviews are effective and that necessary resources are provided.

Example: The CIO approves extra budget for security initiatives after reviewing performance findings.

Evidences to attach:
1. A copy of the meeting notes where budget approval is discussed, showing that management agreed on the funding.
2. A short report or summary confirming that the review met the required standards.",1,998,1,1,"2025-03-19 11:59:44.229","2025-03-19 11:59:44.229"
2757,ISMS Manager Responsibilities,"The ISMS Manager arranges review meetings, prepares the agenda, and tracks follow-up actions.

Example: The ISMS Manager sends a meeting invitation and later follows up with action items.

Evidences to attach:
1. A copy of the meeting invitation or calendar event for the review meeting.
2. Meeting notes or follow-up emails that clearly list the agreed actions.",1,998,1,1,"2025-03-19 11:59:44.253","2025-03-19 11:59:44.253"
2758,Internal Audit Contributions,"Auditors present findings, identify compliance gaps, and discuss corrective actions during the review.

Example: The auditor shows a slide presentation that summarizes the key findings.

Evidences to attach:
1. A simple report or slide presentation summarizing the audit findings.
2. Meeting notes where these findings were discussed.",1,998,1,1,"2025-03-19 11:59:44.274","2025-03-19 11:59:44.274"
2759,Annual Scheduled Reviews,"Regular management reviews are held at least once a year to assess ISMS effectiveness.

Example: A planned annual review meeting is conducted to evaluate ISMS performance.

Evidences to attach:
1. A copy of the meeting invitation or calendar event for the annual review.
2. Meeting notes that clearly summarize the discussion and decisions from the review.",1,999,1,1,"2025-03-19 11:59:44.308","2025-03-19 11:59:44.308"
2760,Extraordinary Reviews,"Reviews are held when a major security incident, regulatory change, or significant update occurs.

Example: An emergency review is held after a data breach to determine what went wrong.

Evidences to attach:
1. A copy of the emergency meeting notice or invitation.
2. An incident report or summary that explains the security event and the review outcomes.",1,999,1,1,"2025-03-19 11:59:44.330","2025-03-19 11:59:44.330"
