"id","name","desc","include","categoryId","inherent_likelihood","residual_likelihood","inherent_impact","residual_impact","createdBy","updatedBy","created_at","updated_at"
994,Security Oversight and Implementation,"Outlines the responsibilities of senior leadership, security officers, and IT personnel in managing security.",1,190,UNLIKELY,UNLIKELY,MAJOR,MODERATE,1,1,"2025-03-19 11:33:36.004","2025-03-26 11:34:50.290"
995,Security Implementation Framework,Defines the technical and procedural security controls to mitigate risks and ensure compliance.,1,191,,,,,1,1,"2025-03-19 11:33:36.104","2025-03-19 11:33:36.104"
996,Ongoing Security Awareness Initiatives,Implements programs to enhance employee awareness of cyber threats and security policies.,1,192,,,,,1,1,"2025-03-19 11:33:36.203","2025-03-19 11:33:36.203"
997,Security Monitoring and Auditing,Implements continuous monitoring solutions and periodic security audits for compliance validation.,1,193,,,,,1,1,"2025-03-19 11:33:36.289","2025-03-19 11:33:36.289"
998,Review Participants and Their Responsibilities,Outlines key personnel involved in ISMS reviews and their respective roles.,1,194,,,,,1,1,"2025-03-19 11:59:44.215","2025-03-19 11:59:44.215"
999,Scheduled and Extraordinary Reviews,Explains the difference between regular scheduled reviews and reviews triggered by specific events.,1,195,,,,,1,1,"2025-03-19 11:59:44.300","2025-03-19 11:59:44.300"
1000,Review Findings,"Describes the specific findings from the management review, including incidents and their causes.",1,196,,,,,1,1,"2025-03-19 11:59:44.354","2025-03-19 11:59:44.354"
1001,Key Performance Indicators,Lists and tracks key metrics that show ISMS effectiveness.,1,196,,,,,1,1,"2025-03-19 11:59:44.381","2025-03-19 11:59:44.381"
1002,Audit and Compliance,Summarizes the audit results and confirms compliance with regulatory requirements.,1,196,,,,,1,1,"2025-03-19 11:59:44.410","2025-03-19 11:59:44.410"
1003,Decision Documentation,Explains how the management decisions are recorded and communicated.,1,197,,,,,1,1,"2025-03-19 11:59:44.473","2025-03-19 11:59:44.473"
1004,Audit Inputs,Details the information gathered from reviews that is used during audits.,1,198,,,,,1,1,"2025-03-19 11:59:44.548","2025-03-19 11:59:44.548"
1005,Preparation and Architecture,"Establishes security foundations, including threat modeling, cryptographic frameworks, and compliance integration.",1,199,,,,,1,1,"2025-03-20 06:46:33.043","2025-03-20 06:46:33.043"
1006,Code Security and Analysis,Uses static and dynamic analysis tools to detect vulnerabilities early in the development process.,1,200,,,,,1,1,"2025-03-20 06:46:33.153","2025-03-20 06:46:33.153"
1007,Security-Enforced Deployments,"Integrates security controls like cryptographic signing, runtime enforcement, and proactive threat detection.",1,201,,,,,1,1,"2025-03-20 06:46:33.239","2025-03-20 06:46:33.239"
1008,Automated Risk Management,Integrates machine learning models to enhance vulnerability prioritization and security posture validation.,1,202,,,,,1,1,"2025-03-20 06:46:33.328","2025-03-20 06:46:33.328"
1009,Security Standards for Suppliers,Suppliers must adhere to technical and procedural security controls to ensure data integrity and compliance.,1,203,,,,,1,1,"2025-03-20 08:06:14.242","2025-03-20 08:06:14.242"
