"id","name","desc","include","documentId","createdBy","updatedBy","created_at","updated_at"
190,Roles and Responsibilities,Defines key personnel involved in information security and their respective responsibilities.,1,37,1,1,"2025-03-19 11:33:35.985","2025-03-19 11:33:35.985"
191,Detailed Security Protocols,"Specifies key security controls, access management, and incident response measures.",1,37,1,1,"2025-03-19 11:33:36.095","2025-03-19 11:33:36.095"
192,Security Awareness and Training,"Ensures all personnel are educated on security best practices, threats, and compliance requirements.",1,37,1,1,"2025-03-19 11:33:36.187","2025-03-19 11:33:36.187"
193,Monitoring and Review,"Ensures security controls are continuously monitored, tested, and improved based on assessments.",1,37,1,1,"2025-03-19 11:33:36.274","2025-03-19 11:33:36.274"
194,Roles and Responsibilities,"Defines responsibilities for conducting, facilitating, and documenting the ISMS management reviews.",1,38,1,1,"2025-03-19 11:59:44.199","2025-03-19 11:59:44.199"
195,Review Frequency and Triggers,Defines how often ISMS reviews occur and what events trigger extra (emergency) reviews.,1,38,1,1,"2025-03-19 11:59:44.287","2025-03-19 11:59:44.287"
196,Review Outcomes,"Defines the expected outcomes of management reviews, including documentation of findings and decisions.",1,38,1,1,"2025-03-19 11:59:44.345","2025-03-19 11:59:44.345"
197,Review Decisions,"Describes the decisions made during the management review, including policy changes and corrective actions.",1,38,1,1,"2025-03-19 11:59:44.461","2025-03-19 11:59:44.461"
198,Audit Integration,Explains how the outcomes of management reviews are used in the audit process.,1,38,1,1,"2025-03-19 11:59:44.535","2025-03-19 11:59:44.535"
199,Secure Development Lifecycle,Defines security best practices and technologies implemented at different stages of the SDLC.,1,39,1,1,"2025-03-20 06:46:33.028","2025-03-20 06:46:33.028"
200,Secure Coding Practices,Ensures security-first coding techniques and automated vulnerability detection are applied.,1,39,1,1,"2025-03-20 06:46:33.144","2025-03-20 06:46:33.144"
201,Secure Deployment Practices,Ensures security measures are integrated into deployment pipelines and runtime environments.,1,39,1,1,"2025-03-20 06:46:33.229","2025-03-20 06:46:33.229"
202,AI-Driven Security Maintenance,Leverages AI and machine learning for continuous security assessment and risk prediction.,1,39,1,1,"2025-03-20 06:46:33.313","2025-03-20 06:46:33.313"
203,Supplier Security Requirements,Defines mandatory security measures suppliers must implement to protect organizational data.,1,40,1,1,"2025-03-20 08:06:14.225","2025-03-20 08:06:14.225"
204,Supplier Selection and Evaluation,Ensures that suppliers are assessed based on security posture before engagement.,1,40,1,1,"2025-03-20 08:06:14.366","2025-03-20 08:06:14.366"
205,Contractual Agreements,Ensures suppliers are legally bound to security commitments through contracts and agreements.,1,40,1,1,"2025-03-20 08:06:14.449","2025-03-20 08:06:14.449"
206,Monitoring and Review of Supplier Security,Establishes continuous monitoring mechanisms to ensure ongoing supplier compliance.,1,40,1,1,"2025-03-20 08:06:14.530","2025-03-20 08:06:14.530"
207,Network Access Control,Establishes procedures for controlling who can access the network.,1,41,1,1,"2025-03-20 08:45:45.619","2025-03-20 08:45:45.619"
208,Network Infrastructure Security,"",1,41,1,1,"2025-03-20 08:45:45.670","2025-03-20 08:45:45.670"
209,Network Monitoring and Incident Response,Provides guidelines to secure network hardware and software components.,1,41,1,1,"2025-03-20 08:45:45.703","2025-03-20 08:45:45.703"
210,Network Device Management,Provides guidance on managing and maintaining network devices securely.,1,41,1,1,"2025-03-20 08:45:45.733","2025-03-20 08:45:45.733"
211,Access Controls,"Defines user authentication, authorization, and secure access mechanisms.",1,41,1,1,"2025-03-20 08:45:45.779","2025-03-20 08:45:45.779"
212,Perimeter Defense and Network Monitoring,"Ensures firewalls, IDS/IPS, and continuous network monitoring are implemented.",1,41,1,1,"2025-03-20 08:45:45.839","2025-03-20 08:45:45.839"
213,Roles and Responsibilities,Defines responsibilities of personnel involved in cloud security management.,1,42,1,1,"2025-03-20 09:09:01.242","2025-03-20 09:09:01.242"
214,Policy Details and Guidelines,Defines technical controls and best practices for securing cloud environments.,1,42,1,1,"2025-03-20 09:09:01.318","2025-03-20 09:09:01.318"
215,Monitoring and Incident Response,"Defines monitoring, logging, and incident handling processes for cloud security.",1,42,1,1,"2025-03-20 09:09:01.360","2025-03-20 09:09:01.360"
216,Secure Access Control,"Defines identity management, authentication, and privileged access controls.",1,42,1,1,"2025-03-20 09:09:01.466","2025-03-20 09:09:01.466"
217,Compliance and Auditing,"Ensures adherence to legal, regulatory, and security compliance standards.",1,42,1,1,"2025-03-20 09:09:01.518","2025-03-20 09:09:01.518"
